foil,aoa,CL,CD,LD,chord,max_thick,x_thick,max_camber,x_camber,avg_xtr
a18sm,-1,0.39,0.00597,65.3266,1,0.07283,0.2712,0.03842,0.49265,0.5468
a18sm,-2,0.2779,0.0063,44.1111,1,0.07283,0.2712,0.03842,0.49265,0.52425
a18sm,-3,0.1661,0.00681,24.3906,1,0.07283,0.2712,0.03842,0.49265,0.5088
a18sm,-4,0.0514,0.00782,6.57289,1,0.07283,0.2712,0.03842,0.49265,0.4963
a18sm,-5,-0.0735,0.00909,-8.08581,1,0.07283,0.2712,0.03842,0.49265,0.49975
a18sm,0,0.5018,0.00578,86.8166,1,0.07283,0.2712,0.03842,0.49265,0.59045
a18sm,1,0.6054,0.0048,126.125,1,0.07283,0.2712,0.03842,0.49265,0.85665
a18sm,10,1.4348,0.02771,51.7791,1,0.07283,0.2712,0.03842,0.49265,0.5037
a18sm,2,0.7152,0.00544,131.471,1,0.07283,0.2712,0.03842,0.49265,0.81035
a18sm,3,0.8227,0.00637,129.152,1,0.07283,0.2712,0.03842,0.49265,0.7494
a18sm,4,0.9252,0.008,115.65,1,0.07283,0.2712,0.03842,0.49265,0.6503
a18sm,5,1.0225,0.0103,99.2718,1,0.07283,0.2712,0.03842,0.49265,0.5513
a18sm,6,1.1204,0.01227,91.3121,1,0.07283,0.2712,0.03842,0.49265,0.51105
a18sm,7,1.2165,0.0143,85.0699,1,0.07283,0.2712,0.03842,0.49265,0.5048
a18sm,8,1.3023,0.01728,75.3646,1,0.07283,0.2712,0.03842,0.49265,0.50415
a18sm,9,1.3723,0.02211,62.0669,1,0.07283,0.2712,0.03842,0.49265,0.504
a18,-1,0.4703,0.00831,56.5945,1,0.07345,0.3,0.050365,0.45,0.26505
a18,-3,0.2498,0.00916,27.2707,1,0.07345,0.3,0.050365,0.45,0.22135
a18,-4,0.1397,0.01002,13.9421,1,0.07345,0.3,0.050365,0.45,0.2369
a18,-5,0.0314,0.01106,2.83906,1,0.07345,0.3,0.050365,0.45,0.2705
a18,0,0.5806,0.00812,71.5025,1,0.07345,0.3,0.050365,0.45,0.29785
a18,2,0.7985,0.00817,97.7356,1,0.07345,0.3,0.050365,0.45,0.35195
a18,3,0.8954,0.01,89.54,1,0.07345,0.3,0.050365,0.45,0.28345
a63a108c,-1,-0.1185,0.00565,-20.9735,1,0.07735,0.3,0.005505,0.65,0.69695
a63a108c,-2,-0.2268,0.00773,-29.3402,1,0.07735,0.3,0.005505,0.65,0.49695
a63a108c,-3,-0.3325,0.00854,-38.9344,1,0.07735,0.3,0.005505,0.65,0.4901
a63a108c,-4,-0.4448,0.00975,-45.6205,1,0.07735,0.3,0.005505,0.65,0.50935
a63a108c,-5,-0.5613,0.01179,-47.6081,1,0.07735,0.3,0.005505,0.65,0.50815
a63a108c,0,-0.0072,0.00501,-1.43713,1,0.07735,0.3,0.005505,0.65,0.7805
a63a108c,1,0.0963,0.00463,20.7991,1,0.07735,0.3,0.005505,0.65,0.8211
a63a108c,10,1.1038,0.02006,55.0249,1,0.07735,0.3,0.005505,0.65,0.50815
a63a108c,11,1.1912,0.02493,47.7818,1,0.07735,0.3,0.005505,0.65,0.50745
a63a108c,12,1.2567,0.03176,39.5686,1,0.07735,0.3,0.005505,0.65,0.50695
a63a108c,13,1.2667,0.04157,30.4715,1,0.07735,0.3,0.005505,0.65,0.50655
a63a108c,2,0.22,0.00593,37.0995,1,0.07735,0.3,0.005505,0.65,0.67125
a63a108c,3,0.336,0.00711,47.2574,1,0.07735,0.3,0.005505,0.65,0.58235
a63a108c,4,0.4514,0.00808,55.8663,1,0.07735,0.3,0.005505,0.65,0.5428
a63a108c,5,0.5662,0.00904,62.6327,1,0.07735,0.3,0.005505,0.65,0.5245
a63a108c,6,0.6799,0.0102,66.6569,1,0.07735,0.3,0.005505,0.65,0.51465
a63a108c,8,0.9015,0.01347,66.9265,1,0.07735,0.3,0.005505,0.65,0.5095
a63a108c,9,1.0066,0.01605,62.7165,1,0.07735,0.3,0.005505,0.65,0.5087
ag03,-3,-0.1291,0.00886,-14.5711,1,0.062456,0.256511,0.020211,0.318857,0.4949
ag03,0,0.2035,0.00405,50.2469,1,0.062456,0.256511,0.020211,0.318857,0.85095
ag03,10,1.2492,0.01802,69.323,1,0.062456,0.256511,0.020211,0.318857,0.5024
ag03,11,1.3308,0.0221,60.2172,1,0.062456,0.256511,0.020211,0.318857,0.5015
ag03,12,1.3962,0.02729,51.1616,1,0.062456,0.256511,0.020211,0.318857,0.501
ag03,13,1.4204,0.03457,41.0876,1,0.062456,0.256511,0.020211,0.318857,0.50075
ag03,3,0.5296,0.00612,86.5359,1,0.062456,0.256511,0.020211,0.318857,0.66615
ag03,4,0.6382,0.00703,90.7824,1,0.062456,0.256511,0.020211,0.318857,0.61545
ag03,5,0.7459,0.00808,92.3144,1,0.062456,0.256511,0.020211,0.318857,0.57295
ag03,7,0.957,0.01078,88.7755,1,0.062456,0.256511,0.020211,0.318857,0.52035
ag03,8,1.0594,0.01254,84.4817,1,0.062456,0.256511,0.020211,0.318857,0.5098
ag03,9,1.1583,0.01471,78.7424,1,0.062456,0.256511,0.020211,0.318857,0.50445
ag04,-1,0.0774,0.00531,14.5763,1,0.064407,0.218852,0.017455,0.393636,0.6111
ag04,-2,-0.0258,0.00593,-4.35076,1,0.064407,0.218852,0.017455,0.393636,0.55695
ag04,-3,-0.1606,0.00694,-23.1412,1,0.064407,0.218852,0.017455,0.393636,0.51705
ag04,0,0.177,0.00417,42.446,1,0.064407,0.218852,0.017455,0.393636,0.7979
ag04,1,0.2941,0.00459,64.0741,1,0.064407,0.218852,0.017455,0.393636,0.78935
ag04,11,1.2991,0.02644,49.1339,1,0.064407,0.218852,0.017455,0.393636,0.5016
ag04,12,1.2975,0.03861,33.6053,1,0.064407,0.218852,0.017455,0.393636,0.50145
ag04,2,0.4043,0.00528,76.572,1,0.064407,0.218852,0.017455,0.393636,0.7239
ag04,3,0.5143,0.00611,84.1735,1,0.064407,0.218852,0.017455,0.393636,0.66225
ag04,5,0.7322,0.00814,89.9509,1,0.064407,0.218852,0.017455,0.393636,0.56545
ag04,6,0.8388,0.00956,87.7406,1,0.064407,0.218852,0.017455,0.393636,0.5283
