Airfoil,AoA,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,L/D
a18sm,-1,0.39,0.00597,0.00122,-0.1204,0.8632,0.2304,65.3266
a18sm,-2,0.2779,0.0063,0.00141,-0.1206,0.9099,0.1386,44.1111
a18sm,-3,0.1661,0.00681,0.00182,-0.121,0.9448,0.0728,24.3906
a18sm,-4,0.0514,0.00782,0.00272,-0.1207,0.9686,0.024,6.57289
a18sm,-5,-0.0735,0.00909,0.00418,-0.118,0.9812,0.0183,-8.08581
a18sm,0,0.5018,0.00578,0.00122,-0.1202,0.8019,0.379,86.8166
a18sm,1,0.6054,0.0048,0.00135,-0.1183,0.7133,1,126.125
a18sm,10,1.4348,0.02771,0.0227,-0.0888,0.0074,1,51.7791
a18sm,2,0.7152,0.00544,0.0016,-0.1177,0.6207,1,131.471
a18sm,3,0.8227,0.00637,0.00198,-0.1169,0.4988,1,129.152
a18sm,4,0.9252,0.008,0.00274,-0.1156,0.3006,1,115.65
a18sm,5,1.0225,0.0103,0.00413,-0.1136,0.1026,1,99.2718
a18sm,6,1.1204,0.01227,0.00565,-0.1114,0.0221,1,91.3121
a18sm,7,1.2165,0.0143,0.00779,-0.1085,0.0096,1,85.0699
a18sm,8,1.3023,0.01728,0.01122,-0.1038,0.0083,1,75.3646
a18sm,9,1.3723,0.02211,0.01657,-0.0964,0.008,1,62.0669
a18,-1,0.4703,0.00831,0.00118,-0.1156,0.3927,0.1374,56.5945
a18,-3,0.2498,0.00916,0.00185,-0.1125,0.3922,0.0505,27.2707
a18,-4,0.1397,0.01002,0.00299,-0.111,0.4218,0.052,13.9421
a18,-5,0.0314,0.01106,0.0045,-0.1095,0.4911,0.0499,2.83906
a18,0,0.5806,0.00812,0.00125,-0.1171,0.4248,0.1709,71.5025
a18,2,0.7985,0.00817,0.00168,-0.12,0.4149,0.289,97.7356
a18,3,0.8954,0.01,0.00268,-0.1197,0.1785,0.3884,89.54
a63a108c,-1,-0.1185,0.00565,0.00165,0.0016,0.8686,0.5253,-20.9735
a63a108c,-2,-0.2268,0.00773,0.00218,0.0013,0.9124,0.0815,-29.3402
a63a108c,-3,-0.3325,0.00854,0.00286,-0.0008,0.954,0.0262,-38.9344
a63a108c,-4,-0.4448,0.00975,0.00422,-0.0012,1,0.0187,-45.6205
a63a108c,-5,-0.5613,0.01179,0.00645,-0.0001,1,0.0163,-47.6081
a63a108c,0,-0.0072,0.00501,0.00153,0.0025,0.8078,0.7532,-1.43713
a63a108c,1,0.0963,0.00463,0.0014,0.0058,0.69,0.9522,20.7991
a63a108c,10,1.1038,0.02006,0.01524,0.0004,0.0163,1,55.0249
a63a108c,11,1.1912,0.02493,0.02072,0.002,0.0149,1,47.7818
a63a108c,12,1.2567,0.03176,0.02826,0.0048,0.0139,1,39.5686
a63a108c,13,1.2667,0.04157,0.03886,0.0101,0.0131,1,30.4715
a63a108c,2,0.22,0.00593,0.00145,0.0029,0.3425,1,37.0995
a63a108c,3,0.336,0.00711,0.00187,0.0016,0.1647,1,47.2574
a63a108c,4,0.4514,0.00808,0.00241,0.0007,0.0856,1,55.8663
a63a108c,5,0.5662,0.00904,0.00315,-0,0.049,1,62.6327
a63a108c,6,0.6799,0.0102,0.00424,-0.0006,0.0293,1,66.6569
a63a108c,8,0.9015,0.01347,0.00783,-0.001,0.019,1,66.9265
a63a108c,9,1.0066,0.01605,0.01073,-0.0007,0.0174,1,62.7165
ag03,-3,-0.1291,0.00886,0.00384,-0.0368,0.9848,0.005,-14.5711
ag03,0,0.2035,0.00405,0.00077,-0.0346,0.7019,1,50.2469
ag03,10,1.2492,0.01802,0.0127,-0.0262,0.0048,1,69.323
ag03,11,1.3308,0.0221,0.01728,-0.0235,0.003,1,60.2172
ag03,12,1.3962,0.02729,0.02304,-0.0197,0.002,1,51.1616
ag03,13,1.4204,0.03457,0.03094,-0.0133,0.0015,1,41.0876
ag03,3,0.5296,0.00612,0.00123,-0.0326,0.3323,1,86.5359
ag03,4,0.6382,0.00703,0.00176,-0.0322,0.2309,1,90.7824
ag03,5,0.7459,0.00808,0.00251,-0.0318,0.1459,1,92.3144
ag03,7,0.957,0.01078,0.0049,-0.0306,0.0407,1,88.7755
ag03,8,1.0594,0.01254,0.0067,-0.0297,0.0196,1,84.4817
ag03,9,1.1583,0.01471,0.00904,-0.0284,0.0089,1,78.7424
ag04,-1,0.0774,0.00531,0.00081,-0.037,0.8334,0.3888,14.5763
ag04,-2,-0.0258,0.00593,0.00112,-0.0394,0.9476,0.1663,-4.35076
ag04,-3,-0.1606,0.00694,0.00171,-0.0345,0.9965,0.0376,-23.1412
ag04,0,0.177,0.00417,0.00075,-0.034,0.7065,0.8893,42.446
ag04,1,0.2941,0.00459,0.00074,-0.0346,0.5787,1,64.0741
ag04,11,1.2991,0.02644,0.02215,-0.0224,0.0032,1,49.1339
ag04,12,1.2975,0.03861,0.03544,-0.0149,0.0029,1,33.6053
ag04,2,0.4043,0.00528,0.00091,-0.0342,0.4478,1,76.572
ag04,3,0.5143,0.00611,0.00127,-0.0338,0.3245,1,84.1735
ag04,5,0.7322,0.00814,0.00259,-0.0331,0.1309,1,89.9509
ag04,6,0.8388,0.00956,0.00372,-0.0325,0.0566,1,87.7406
ag04,7,0.9434,0.0113,0.00535,-0.0316,0.0189,1,83.4867
ag04,8,1.0455,0.01343,0.00764,-0.0304,0.0081,1,77.8481
ag04,9,1.1414,0.01653,0.01107,-0.0286,0.0048,1,69.0502
ag08,-1,0.0905,0.00535,0.00083,-0.041,0.9044,0.2982,16.9159
ag08,-2,-0.0266,0.00616,0.00117,-0.0403,0.985,0.1038,-4.31818
ag08,-3,-0.1625,0.00706,0.0018,-0.035,1,0.0324,-23.017
ag08,-4,-0.2666,0.00829,0.00308,-0.0369,1,0.0155,-32.1592
ag08,-5,-0.3728,0.01,0.00497,-0.0383,1,0.0103,-37.28
